url,doc_id,title,audience,department,category,language,document_version,license_or_permission
https://www.utc.edu.vn/gioi-thieu/trung-tam-thong-tin-thu-vien,thu-vien-dich-vu,"Trung tâm Thông tin - Thư viện: dịch vụ và đối tượng bạn đọc",all,trung-tam-thong-tin-thu-vien,thu-vien,vi,not-stated,public-source
https://www.utc.edu.vn/gioi-thieu/ban-quan-ly-ky-tuc-xa,ky-tuc-xa-quan-ly,"Ban Quản lý Ký túc xá: chức năng và dịch vụ cho sinh viên nội trú",student,ban-quan-ly-ky-tuc-xa,ky-tuc-xa,vi,not-stated,public-source
https://www.utc.edu.vn/gioi-thieu/phong-cong-tac-chinh-tri-va-sinh-vien,cong-tac-sinh-vien,"Phòng Chăm sóc người học: công tác sinh viên, học bổng và chế độ chính sách",student,phong-cham-soc-nguoi-hoc,cong-tac-sinh-vien,vi,not-stated,public-source
https://www.utc.edu.vn/gioi-thieu/phong-dao-tao-dai-hoc,dao-tao-dai-hoc-hoc-vu,"Phòng Đào tạo đại học: đăng ký học phần và các thủ tục học vụ",student,phong-dao-tao-dai-hoc,hoc-vu,vi,not-stated,public-source
https://www.utc.edu.vn/gioi-thieu/phong-ke-hoach-tai-chinh,ke-hoach-tai-chinh-hoc-phi,"Phòng Kế hoạch - Tài chính: học phí và các khoản thu",all,phong-ke-hoach-tai-chinh,hoc-phi,vi,not-stated,public-source
https://www.utc.edu.vn/gioi-thieu/tram-y-te,tram-y-te,"Trạm Y tế: chăm sóc sức khỏe và bảo hiểm y tế sinh viên",student,tram-y-te,y-te,vi,not-stated,public-source
https://www.utc.edu.vn/gioi-thieu/trung-tam-dao-tao-truc-tuyen-utc,dao-tao-truc-tuyen,"Trung tâm Đào tạo trực tuyến UTC: hệ thống học trực tuyến",student,trung-tam-dao-tao-truc-tuyen,hoc-truc-tuyen,vi,not-stated,public-source
https://www.utc.edu.vn/gioi-thieu/phong-bao-ve,bao-ve-an-ninh,"Phòng Bảo vệ: an ninh trật tự và quản lý ra vào trong trường",all,phong-bao-ve,an-ninh,vi,not-stated,public-source
https://www.utc.edu.vn/gioi-thieu/phong-quan-ly-chat-luong,quan-ly-chat-luong,"Phòng Quản lý chất lượng: khảo thí và đảm bảo chất lượng đào tạo",staff,phong-quan-ly-chat-luong,dam-bao-chat-luong,vi,not-stated,public-source
https://www.utc.edu.vn/gioi-thieu/phong-phap-che-va-kiem-soat-noi-bo,phap-che-kiem-soat,"Phòng Pháp chế và Kiểm soát nội bộ: xây dựng và rà soát văn bản nội bộ",staff,phong-phap-che-va-kiem-soat-noi-bo,phap-che,vi,not-stated,public-source
